[3 weeks ago] d7cf1ae  PM-4544 <Jonathan>
[3 weeks ago] 433b278  PM-4496: (Dynaforms - Desktop Mobile) Los campos requeridos en modo disabled no estan validados <System Administrator>
[4 weeks ago] 7a6cfd7  PM-4476 <jonathan>
[4 weeks ago] 37ebc80  PM-4453 <System Administrator>
[4 weeks ago] 14eb28b  PM-4439 : Los procesos no se actualizan si el usuario no se desloguea de la aplicación <System Administrator>
[5 weeks ago] e87fb45  PM-4396 : (Dynaforms) Los controles Video en iOS muestran un icono cuadrado y no asi el icono pausa <Jonathan>
[5 weeks ago] b484fba  PM-4397:La propiedad hint en formularios aparece cortado <rodrigo quelca>
[5 weeks ago] 8ba9d9f  PM-4398 : (Mobile-Dynaform) En versiones Kitkat no reproduce el audio, ni video <Jonathan>
[5 weeks ago] 1926225  PM-4330: Los controles de tipo checkbox en modo vista no despliegan el valor con el cual se encuentra <rodrigo quelca>
[5 weeks ago] 27e7e7b  PM-4388:Campos dependientes no funcionan cuando se tiene un ID diferente al nombre de la variable <Richard Yujra>
[5 weeks ago] 4f6fb19  PM-4340:(Dynaform) El paginador de la grilla se desconfigura luego de borrar el primer registro de la segunda pagina <Richard Yujra>
[5 weeks ago] f214f19  PM:4320 - Placeholder en grillas se duplican <jonathan>
[5 weeks ago] 1441dd9  PM-4338:(Dynaform) El default value y el formato de la fecha setea un valor incorrecto <Richard Yujra>
[5 weeks ago] 603746e  PM-4283:Los triggers para variables boolean en campo checkbox no fija Valores en la Definicion JSON de manera correcta <Richard Yujra>
[5 weeks ago] c215e54  PM-4307: triggers no funcionan con los checkboxes en PM <rodrigo quelca>
[5 weeks ago] 8a499dc  PM-4292: 0019346: Links de descarga en los inputs erroneos <marcelo.cuiza>
[5 weeks ago] cb5e8ce  PM-4300 : (Mobile) Los campos suggest están guardando en el value el mismo valor que se guarda en su correspondiente _label <System Administrator>
[6 weeks ago] 25289e6  PM-4283:Los triggers para variables boolean en campo checkbox no fija Valores en la Definicion JSON de manera correcta <Richard Yujra>
[6 weeks ago] 91d18f1  PM-4288 <Jonathan>
[6 weeks ago] 8e9de00  PM-4287:Dependent fields error using texts with characters "+" <Richard Yujra>
[6 weeks ago] a415169  PM-4277 <Jonathan>
[6 weeks ago] 9ccce19  PM-4281:Campos dependientes tipo suggest no se vacian al cambiar el campo independiente <Richard Yujra>
[6 weeks ago] 686276e  PM-4274_A -lastupdate <Jonathan>
[6 weeks ago] fbf4e1a  PM-4240 <Jonathan>
[6 weeks ago] ada463d  PM-4242:Cuando las opciones tienen el label = ' ' , en checkbox (boolean), no renderiza formularios <Richard Yujra>
[6 weeks ago] 78d188e  PN-4223 <Jonathan>
[6 weeks ago] 34423f4  PM-4217: (pmDynaform) Librerias externas no se estan cargando correctamente en Mobile <rodrigo quelca>
[7 weeks ago] ffbb27a  PM-4036:(pmDynaform) Los campos requeridos en controles check muestran una alerta <Richard Yujra>
[7 weeks ago] 6d2b0a2  PM-4182:PMDynaform, cuando una grilla no tiene variable se fija name en los controles <Richard Yujra>
[7 weeks ago] 256e1c6  PM-4169:(pmDynaform) DatimeField no ejecuta la validacion de campo requerido y  en suggestField no se quitan y los messajes despues de la validacion <Richard Yujra>
