[3 weeks ago] 833b6b2  PM-4499: TimerEvent > Al presionar el boton "Today" se desaparece el calendario <rodrigo quelca>
[5 weeks ago] b3d340c  PM-4359:(Variables) El search no filtra las variables de forma correcta <richard yujra>
[6 weeks ago] 737315b  PM-4100: Las lineas de flujo del proceso se desconfiguran al cerrar y volver a abrir el proceso. <rodrigo quelca>
[7 weeks ago] 8adae1d  PM-4151: CLONE 3.0.1.6- BPMN Designer: La conexi�n entre un black box pool y un event, hace que no se pueda modificar la posicion del pool <rodrigo quelca>
[3 months ago] eb81a33  PM-3659:improvements, hiver <Richard Yujra>
[3 months ago] 3736ad4  PM-3564 <Roly Rudy Gutierrez Pinto>
[3 months ago] 6e177ac  PM-3368: Random loop in crossing lines(Mejorar el diseno de las conexiones cruzadas) <rodrigo quelca>
[3 months ago] 27978a4  PM-3456: Error en las opciones del componente de un evento <rodrigo quelca>
[3 months ago] 5b7654f  PM-3345: Mouse pointer doesn't work on process designer labels <rodrigo quelca>
[3 months ago] adc964e  PM-3167 0017833: Boton de desplazamiento (scroll) no funciona en ProcessMaker 3.0.0.6 cuando se edita triggers con el modo editor <dheeyi>
[3 months ago] 3c670b4  PM-3659:Uso de interface lenta (assignment rules) cuando se tienen varios usuarios (40000) <richard yujra>
[4 months ago] 0f8acaf  PM-3389: Error de espacio de trabajo / posicion de flujos y elementos <rodrigo quelca>
[4 months ago] 5b613ad  PM-3564 <Roly Rudy Gutierrez Pinto>
[4 months ago] 7b6f2e2  PM-3368: Random loop in crossing lines(Mejorar el diseno de las conexiones cruzadas) <rodrigo quelca>
[4 months ago] 450d960  PM-3456: Error en las opciones del componente de un evento <rodrigo quelca>
[4 months ago] 9d9f96d  PM-3222 El campo "Update Date" se actualiza cuando se utiliza el zoom. Descripcion: Se quitaron los triguers que actualizaban el diagrama como "Dirty" <rodrigo quelca>
[4 months ago] b9009b2  PM-3129 los objetos puedes ser arrastrados detras de la barra de objetos y se quedan ahi sin poder seleccionarlos Solucion: se valido el motodo moveElements para que cancele movimientos a coordenadas negativas. <rodrigo quelca>
[4 months ago] ea9a995  PM-3345: Mouse pointer doesn't work on process designer labels <rodrigo quelca>
[5 months ago] 2210b6a  PM-3167 0017833: Boton de desplazamiento (scroll) no funciona en ProcessMaker 3.0.0.6 cuando se edita triggers con el modo editor <dheeyi>
[5 months ago] 36d1cb7  disable apply task margins <rodrigo quelca>
[5 months ago] b53f472  revert changes <rodrigo quelca>
[6 months ago] 30eb6d0  PM-3154 0017842: No aparecen varios usuarios para la asignacion <dheeyi>
[6 months ago] 3c5e003  PM-2240 El arrow del flujo de secuencia no se dibuja de forma adecuada usando se usan pools <rodrigo quelca>
[6 months ago] 8104956  PM-2878 Cambiar estandarizar el UX/diseñe las grillas <dheeyi>
[6 months ago] 908e1bc  dateTime picker <marcelo.cuiza>
[6 months ago] 1c86c56  fix dateTime picker <marcelo.cuiza>
[7 months ago] 0c1184d  PM-2868 Estandarizar grillas de acuerdo a dise <dheeyi>
[7 months ago] f7740c3  PM-2647 Designer > BPMN Designer > Porcess Supervisors > Steps: Estandarizar la ventana al nuevo diseñue se solicito para el diseñr BPMN <dheeyi>
[7 months ago] 7ef4af8  PM-1664 changes to implement corona for all shapes <rodrigo quelca>
[7 months ago] b5a9f73  PM-2815: some changes in styles <Paula V. Quispe>
